timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1665919148749,705,Homepage,200,OK,Thread Group 1-8,text,true,,7841,441,96,96,https://reqres.in/,705,0,82
1665919148700,766,Homepage,200,OK,Thread Group 1-2,text,true,,7777,441,98,98,https://reqres.in/,766,0,113
1665919148738,732,Homepage,200,OK,Thread Group 1-7,text,true,,7772,441,98,98,https://reqres.in/,731,0,92
1665919148752,719,Homepage,200,OK,Thread Group 1-9,text,true,,7782,441,98,98,https://reqres.in/,719,0,76
1665919148714,778,Homepage,200,OK,Thread Group 1-4,text,true,,7789,441,101,101,https://reqres.in/,778,0,119
1665919148687,805,Homepage,200,OK,Thread Group 1-1,text,true,,7825,441,101,101,https://reqres.in/,805,0,87
1665919148769,743,Homepage,200,OK,Thread Group 1-11,text,true,,7831,441,104,104,https://reqres.in/,743,0,96
1665919148794,735,Homepage,200,OK,Thread Group 1-14,text,true,,7783,441,106,106,https://reqres.in/,735,0,89
1665919148705,824,Homepage,200,OK,Thread Group 1-3,text,true,,7785,441,104,104,https://reqres.in/,824,0,113
1665919148760,769,Homepage,200,OK,Thread Group 1-10,text,true,,7783,441,106,106,https://reqres.in/,769,0,122
1665919148720,818,Homepage,200,OK,Thread Group 1-5,text,true,,7842,441,106,106,https://reqres.in/,818,0,97
1665919148840,775,Homepage,200,OK,Thread Group 1-20,text,true,,7835,441,117,117,https://reqres.in/,775,0,90
1665919148832,786,Homepage,200,OK,Thread Group 1-19,text,true,,7836,441,117,117,https://reqres.in/,785,0,98
1665919148826,795,Homepage,200,OK,Thread Group 1-18,text,true,,7899,441,117,117,https://reqres.in/,795,0,109
1665919148815,807,Homepage,200,OK,Thread Group 1-17,text,true,,7787,441,117,117,https://reqres.in/,807,0,115
1665919148811,818,Homepage,200,OK,Thread Group 1-16,text,true,,7780,441,118,118,https://reqres.in/,818,0,97
1665919148779,850,Homepage,200,OK,Thread Group 1-12,text,true,,7817,441,118,118,https://reqres.in/,850,0,113
1665919148785,846,Homepage,200,OK,Thread Group 1-13,text,true,,7840,441,119,119,https://reqres.in/,846,0,105
1665919148800,925,Homepage,200,OK,Thread Group 1-15,text,true,,7777,441,130,130,https://reqres.in/,925,0,102
1665919148729,1017,Homepage,200,OK,Thread Group 1-6,text,true,,7786,441,133,133,https://reqres.in/,1017,0,87
1665919148848,907,Homepage,200,OK,Thread Group 1-21,text,true,,7833,441,134,134,https://reqres.in/,907,0,128
1665919148874,940,Homepage,200,OK,Thread Group 1-24,text,true,,7809,441,141,141,https://reqres.in/,940,0,97
1665919148915,937,Homepage,200,OK,Thread Group 1-29,text,true,,7841,441,146,146,https://reqres.in/,937,0,192
1665919148945,907,Homepage,200,OK,Thread Group 1-33,text,true,,7783,441,146,146,https://reqres.in/,907,0,152
1665919148896,961,Homepage,200,OK,Thread Group 1-27,text,true,,7791,441,147,147,https://reqres.in/,961,0,197
1665919148889,974,Homepage,200,OK,Thread Group 1-26,text,true,,7796,441,148,148,https://reqres.in/,974,0,211
1665919148980,892,Homepage,200,OK,Thread Group 1-37,text,true,,7785,441,149,149,https://reqres.in/,892,0,147
1665919149001,873,Homepage,200,OK,Thread Group 1-40,text,true,,7807,441,149,149,https://reqres.in/,873,0,164
1665919148938,975,Homepage,200,OK,Thread Group 1-32,text,true,,7827,441,154,154,https://reqres.in/,975,0,166
1665919148954,974,Homepage,200,OK,Thread Group 1-34,text,true,,7831,441,156,156,https://reqres.in/,974,0,236
1665919148905,1042,Homepage,200,OK,Thread Group 1-28,text,true,,7783,441,158,158,https://reqres.in/,1042,0,193
1665919149031,977,Homepage,200,OK,Thread Group 1-44,text,true,,7789,441,166,166,https://reqres.in/,977,0,313
1665919149111,971,Homepage,200,OK,Thread Group 1-53,text,true,,7855,441,175,175,https://reqres.in/,971,0,276
1665919149130,953,Homepage,200,OK,Thread Group 1-56,text,true,,7788,441,175,175,https://reqres.in/,953,0,256
1665919149108,1018,Homepage,200,OK,Thread Group 1-48,text,true,,7833,441,180,180,https://reqres.in/,1018,0,278
1665919149038,1109,Homepage,200,OK,Thread Group 1-45,text,true,,7841,441,183,183,https://reqres.in/,1109,0,131
1665919149018,1131,Homepage,200,OK,Thread Group 1-42,text,true,,7786,441,183,183,https://reqres.in/,1131,0,168
1665919148970,1183,Homepage,200,OK,Thread Group 1-36,text,true,,7810,441,184,184,https://reqres.in/,1183,0,201
1665919149145,1140,Homepage,200,OK,Thread Group 1-58,text,true,,7786,441,200,200,https://reqres.in/,1140,0,406
1665919149175,1121,Homepage,200,OK,Thread Group 1-62,text,true,,7821,441,202,202,https://reqres.in/,1121,0,389
1665919148856,1449,Homepage,200,OK,Thread Group 1-22,text,true,,7837,441,203,203,https://reqres.in/,1449,0,112
1665919149467,838,GetAllUsers,200,OK,Thread Group 1-2,text,true,,1789,772,203,203,https://reqres.in/api/users?page=2,550,0,304
1665919149467,550,GetAllUsers-0,301,Moved Permanently,Thread Group 1-2,,true,,662,386,203,203,http://reqres.in/api/users?page=2,550,0,304
1665919150018,287,GetAllUsers-1,200,OK,Thread Group 1-2,text,true,,1127,386,203,203,https://reqres.in/api/users?page=2,287,0,0
1665919149530,789,GetAllUsers,200,OK,Thread Group 1-14,text,true,,1785,772,205,205,https://reqres.in/api/users?page=2,516,0,286
1665919149530,516,GetAllUsers-0,301,Moved Permanently,Thread Group 1-14,,true,,666,386,205,205,http://reqres.in/api/users?page=2,516,0,286
1665919150047,272,GetAllUsers-1,200,OK,Thread Group 1-14,text,true,,1119,386,205,205,https://reqres.in/api/users?page=2,272,0,0
1665919149207,1115,Homepage,200,OK,Thread Group 1-66,text,true,,7827,441,205,205,https://reqres.in/,1115,0,445
1665919149215,1112,Homepage,200,OK,Thread Group 1-67,text,true,,7826,441,205,205,https://reqres.in/,1112,0,441
1665919149168,1222,Homepage,200,OK,Thread Group 1-59,text,true,,7800,441,214,214,https://reqres.in/,1222,0,446
1665919148961,1446,Homepage,200,OK,Thread Group 1-35,text,true,,7793,441,216,216,https://reqres.in/,1446,0,717
1665919149619,812,GetAllUsers,200,OK,Thread Group 1-19,text,true,,1791,772,219,219,https://reqres.in/api/users?page=2,538,0,273
1665919149619,538,GetAllUsers-0,301,Moved Permanently,Thread Group 1-19,,true,,666,386,219,219,http://reqres.in/api/users?page=2,538,0,273
