Homepage,500,1601,1132,3190,4061,6308,451,10662,0.000%,29.45335,224.61,12.68
GetAllUsers,600,1001,730,1918,2348,3236,56,6452,0.000%,36.86183,64.36,27.79
GetSingleUser,500,360,234,943,1194,1760,29,3410,0.000%,32.31644,29.91,12.02
PostUser,600,618,526,1013,1253,1821,313,2815,0.000%,39.31075,28.62,17.70
PutUser,500,593,524,761,1213,1919,318,2506,0.000%,33.19172,25.85,15.20
PatchUser,600,621,523,835,1403,2165,306,2852,0.000%,40.35513,30.53,18.56
DeleteUser,500,574,509,761,1098,1854,305,3788,0.000%,34.19271,20.56,14.36
RegisterUser,500,598,505,938,1231,1975,306,2731,0.000%,34.49465,23.33,16.17
UserLogin,600,616,502,1107,1357,1851,308,4434,0.000%,42.18519,28.24,19.82
TOTAL,4900,730,530,1363,1900,3328,29,10662,0.000%,256.45052,400.07,123.25
